	player	nationality	position	squad	age	birth_year	games	games_starts	minutes	goals	assists	pens_made	pens_att	cards_yellow	cards_red	goals_per90	assists_per90	goals_assists_per90	goals_pens_per90	goals_assists_pens_per90	xg	npxg	xa	xg_per90	xa_per90	xg_xa_per90	npxg_per90	npxg_xa_per90	minutes_90s	shots_total	shots_on_target	shots_free_kicks	shots_on_target_pct	shots_total_per90	shots_on_target_per90	goals_per_shot	goals_per_shot_on_target	npxg_per_shot	xg_net	npxg_net	passes_completed	passes	passes_pct	passes_total_distance	passes_progressive_distance	passes_completed_short	passes_short	passes_pct_short	passes_completed_medium	passes_medium	passes_pct_medium	passes_completed_long	passes_long	passes_pct_long	xa_net	assisted_shots	passes_into_final_third	passes_into_penalty_area	crosses_into_penalty_area	progressive_passes	passes_live	passes_dead	passes_free_kicks	through_balls	passes_pressure	passes_switches	crosses	corner_kicks	corner_kicks_in	corner_kicks_out	corner_kicks_straight	passes_ground	passes_low	passes_high	passes_left_foot	passes_right_foot	passes_head	throw_ins	passes_other_body	passes_offsides	passes_oob	passes_intercepted	passes_blocked	sca	sca_per90	sca_passes_live	sca_passes_dead	sca_dribbles	sca_shots	sca_fouled	gca	gca_per90	gca_passes_live	gca_passes_dead	gca_dribbles	gca_shots	gca_fouled	gca_og_for	tackles	tackles_won	tackles_def_3rd	tackles_mid_3rd	tackles_att_3rd	dribble_tackles	dribbles_vs	dribble_tackles_pct	dribbled_past	pressures	pressure_regains	pressure_regain_pct	pressures_def_3rd	pressures_mid_3rd	pressures_att_3rd	blocks	blocked_shots	blocked_shots_saves	blocked_passes	interceptions	clearances	errors	touches	touches_def_pen_area	touches_def_3rd	touches_mid_3rd	touches_att_3rd	touches_att_pen_area	touches_live_ball	dribbles_completed	dribbles	dribbles_completed_pct	players_dribbled_past	nutmegs	carries	carry_distance	carry_progressive_distance	pass_targets	passes_received	passes_received_pct	miscontrols	dispossessed	cards_yellow_red	fouls	fouled	offsides	pens_won	pens_conceded	own_goals	ball_recoveries	aerials_won	aerials_lost	aerials_won_pct
0	Ismael Aaneba	fr FRA	FW,DF	Strasbourg	21-208	1999	2.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	100.0	57.0	15.0	0.0	0.0	0.0	1.0	1.0	100.0	1.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	4.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	4.0	3.0	1.0	33.3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	Patrick van Aanholt	nl NED	DF	Crystal Palace	30-116	1990	9.0	8.0	739.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.12	0.12	0.0	0.12	0.7	0.7	0.6	0.09	0.07	0.16	0.09	0.16	8.2	12.0	5.0	3.0	41.7	1.46	0.61	0.0	0.0	0.06	-0.7	-0.7	398.0	488.0	81.6	6588.0	3180.0	200.0	227.0	88.1	155.0	183.0	84.7	33.0	61.0	54.1	0.4	8.0	32.0	18.0	4.0	55.0	423.0	65.0	12.0	1.0	41.0	6.0	20.0	2.0	0.0	2.0	0.0	325.0	86.0	77.0	331.0	91.0	11.0	51.0	1.0	5.0	6.0	9.0	12.0	17.0	2.07	15.0	2.0	0.0	0.0	0.0	2.0	0.24	2.0	0.0	0.0	0.0	0.0	0.0	12.0	8.0	7.0	5.0	0.0	6.0	9.0	66.7	3.0	67.0	24.0	35.8	39.0	20.0	8.0	10.0	2.0	0.0	8.0	13.0	12.0	1.0	564.0	25.0	151.0	283.0	164.0	20.0	496.0	2.0	8.0	25.0	2.0	0.0	328.0	1666.0	924.0	382.0	357.0	93.5	4.0	5.0	0.0	6.0	2.0	3.0	0.0	0.0	0.0	82.0	3.0	6.0	33.3
2	Issah Abbas	gh GHA	DF,FW	Mainz 05	22-088	1998	2.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	15.0	86.7	260.0	106.0	6.0	7.0	85.7	5.0	6.0	83.3	2.0	2.0	100.0	0.0	0.0	1.0	0.0	0.0	1.0	12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	1.0	0.0	12.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	5.0	6.0	7.0	1.0	14.0	1.0	2.0	50.0	2.0	0.0	10.0	59.0	51.0	12.0	10.0	83.3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
3	Yunis Abdelhamid	ma MAR	DF	Reims	33-086	1987	15.0	15.0	1350.0	1.0	0.0	0.0	0.0	1.0	0.0	0.07	0.0	0.07	0.07	0.07	0.5	0.5	0.0	0.03	0.0	0.03	0.03	0.03	15.0	5.0	2.0	0.0	40.0	0.33	0.13	0.2	0.5	0.1	0.5	0.5	660.0	753.0	87.6	15118.0	5011.0	140.0	153.0	91.5	386.0	413.0	93.5	128.0	177.0	72.3	0.0	0.0	34.0	0.0	0.0	38.0	726.0	27.0	27.0	0.0	73.0	28.0	0.0	0.0	0.0	0.0	0.0	589.0	54.0	110.0	462.0	240.0	23.0	0.0	2.0	2.0	13.0	6.0	3.0	2.0	0.13	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	22.0	22.0	9.0	0.0	8.0	21.0	38.1	13.0	170.0	60.0	35.3	109.0	57.0	4.0	26.0	9.0	1.0	17.0	18.0	78.0	0.0	918.0	138.0	490.0	466.0	15.0	7.0	892.0	2.0	5.0	40.0	2.0	0.0	553.0	2980.0	1718.0	607.0	591.0	97.4	5.0	10.0	0.0	13.0	12.0	0.0	0.0	0.0	0.0	140.0	41.0	21.0	66.1
4	Mehdi Abeid	dz ALG	MF,DF	Nantes	28-139	1992	13.0	10.0	881.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.7	0.08	0.07	0.15	0.08	0.15	9.8	14.0	0.0	1.0	0.0	1.43	0.0	0.0	0.0	0.06	-0.8	-0.8	422.0	504.0	83.7	8429.0	2161.0	166.0	178.0	93.3	174.0	196.0	88.8	71.0	111.0	64.0	-0.7	10.0	44.0	6.0	4.0	31.0	461.0	43.0	29.0	1.0	63.0	26.0	19.0	12.0	7.0	4.0	1.0	374.0	47.0	83.0	63.0	417.0	14.0	2.0	2.0	4.0	9.0	6.0	7.0	24.0	2.45	15.0	4.0	2.0	0.0	1.0	1.0	0.1	1.0	0.0	0.0	0.0	0.0	0.0	26.0	18.0	8.0	16.0	2.0	7.0	18.0	38.9	11.0	163.0	60.0	36.8	46.0	89.0	28.0	15.0	2.0	0.0	13.0	12.0	11.0	1.0	602.0	20.0	173.0	357.0	123.0	6.0	562.0	12.0	16.0	75.0	12.0	0.0	399.0	2606.0	1264.0	437.0	388.0	88.8	6.0	10.0	0.0	17.0	14.0	1.0	0.0	0.0	0.0	98.0	8.0	14.0	36.4
5	Laurent Abergel	fr FRA	MF	Lorient	27-326	1993	16.0	14.0	1301.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.2	0.02	0.01	0.03	0.02	0.03	14.5	11.0	3.0	0.0	27.3	0.76	0.21	0.0	0.0	0.02	-0.3	-0.3	570.0	687.0	83.0	10727.0	2974.0	238.0	275.0	86.5	253.0	276.0	91.7	71.0	114.0	62.3	-0.2	3.0	45.0	4.0	2.0	38.0	663.0	24.0	21.0	0.0	130.0	17.0	7.0	1.0	1.0	0.0	0.0	494.0	89.0	104.0	60.0	595.0	24.0	2.0	2.0	2.0	14.0	17.0	12.0	12.0	0.83	7.0	0.0	0.0	1.0	2.0	1.0	0.07	0.0	0.0	0.0	0.0	1.0	0.0	83.0	54.0	31.0	44.0	8.0	24.0	85.0	28.2	61.0	420.0	125.0	29.8	145.0	240.0	35.0	15.0	3.0	0.0	12.0	18.0	5.0	0.0	851.0	18.0	269.0	531.0	105.0	6.0	832.0	5.0	12.0	41.7	5.0	0.0	588.0	2702.0	1416.0	588.0	542.0	92.2	14.0	18.0	0.0	20.0	24.0	0.0	1.0	0.0	0.0	157.0	5.0	8.0	38.5
6	Charles Abi	fr FRA	FW	Saint-Étienne	20-255	2000	6.0	3.0	265.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.1	0.09	0.02	0.12	0.09	0.12	2.9	3.0	1.0	0.0	33.3	1.02	0.34	0.0	0.0	0.09	-0.3	-0.3	32.0	50.0	64.0	461.0	87.0	17.0	24.0	70.8	10.0	12.0	83.3	2.0	4.0	50.0	-0.1	2.0	1.0	3.0	0.0	5.0	44.0	6.0	0.0	0.0	14.0	0.0	1.0	0.0	0.0	0.0	0.0	32.0	9.0	9.0	27.0	10.0	5.0	0.0	2.0	0.0	0.0	0.0	5.0	3.0	1.02	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	4.0	50.0	2.0	58.0	15.0	25.9	2.0	26.0	30.0	3.0	0.0	0.0	3.0	0.0	3.0	0.0	81.0	3.0	6.0	45.0	31.0	11.0	75.0	5.0	7.0	71.4	5.0	0.0	41.0	247.0	119.0	121.0	59.0	48.8	9.0	4.0	0.0	6.0	5.0	1.0	0.0	0.0	0.0	6.0	10.0	19.0	34.5
7	David Abraham	ar ARG	DF	Eint Frankfurt	34-161	1986	11.0	11.0	952.0	1.0	0.0	0.0	0.0	5.0	1.0	0.09	0.0	0.09	0.09	0.09	0.6	0.6	0.5	0.05	0.04	0.1	0.05	0.1	10.6	6.0	2.0	0.0	33.3	0.57	0.19	0.17	0.5	0.1	0.4	0.4	440.0	545.0	80.7	9230.0	3336.0	147.0	169.0	87.0	211.0	238.0	88.7	78.0	125.0	62.4	-0.5	2.0	41.0	3.0	2.0	36.0	497.0	48.0	13.0	1.0	61.0	16.0	7.0	0.0	0.0	0.0	0.0	335.0	77.0	133.0	52.0	396.0	41.0	35.0	1.0	2.0	4.0	4.0	9.0	2.0	0.19	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	9.0	6.0	3.0	2.0	4.0	15.0	26.7	11.0	131.0	57.0	43.5	75.0	42.0	14.0	24.0	5.0	1.0	19.0	15.0	29.0	0.0	630.0	44.0	254.0	332.0	84.0	6.0	583.0	3.0	4.0	75.0	3.0	0.0	325.0	1746.0	941.0	369.0	351.0	95.1	2.0	0.0	1.0	10.0	6.0	1.0	0.0	0.0	0.0	140.0	31.0	23.0	57.4
8	Tammy Abraham	eng ENG	FW	Chelsea	23-082	1997	13.0	7.0	692.0	5.0	1.0	0.0	0.0	0.0	0.0	0.65	0.13	0.78	0.65	0.78	4.3	4.3	0.9	0.56	0.11	0.67	0.56	0.67	7.7	24.0	10.0	0.0	41.7	3.12	1.3	0.21	0.5	0.18	0.7	0.7	106.0	161.0	65.8	1445.0	264.0	65.0	86.0	75.6	25.0	45.0	55.6	8.0	12.0	66.7	0.1	8.0	10.0	0.0	0.0	8.0	155.0	6.0	1.0	0.0	57.0	0.0	2.0	0.0	0.0	0.0	0.0	99.0	44.0	18.0	15.0	106.0	12.0	0.0	10.0	0.0	3.0	3.0	11.0	15.0	1.95	9.0	0.0	1.0	2.0	3.0	2.0	0.26	1.0	0.0	0.0	0.0	1.0	0.0	5.0	2.0	1.0	3.0	1.0	0.0	3.0	0.0	3.0	97.0	23.0	23.7	8.0	41.0	48.0	7.0	2.0	0.0	5.0	2.0	10.0	0.0	246.0	14.0	31.0	111.0	116.0	48.0	240.0	5.0	13.0	38.5	5.0	1.0	122.0	637.0	237.0	306.0	175.0	57.2	14.0	3.0	0.0	11.0	9.0	2.0	1.0	0.0	0.0	35.0	26.0	20.0	56.5
9	Amir Abrashi	al ALB	MF	Freiburg	30-271	1990	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	Gennaro Acampora	it ITA	MF,FW	Spezia	26-269	1994	3.0	2.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.04	0.01	0.05	0.04	0.05	2.3	4.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.02	-0.1	-0.1	68.0	81.0	84.0	1367.0	156.0	23.0	29.0	79.3	32.0	38.0	84.2	12.0	12.0	100.0	0.0	1.0	4.0	1.0	1.0	3.0	79.0	2.0	1.0	0.0	13.0	1.0	2.0	1.0	0.0	0.0	0.0	74.0	3.0	4.0	72.0	7.0	1.0	0.0	1.0	2.0	3.0	1.0	1.0	4.0	1.71	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	5.0	1.0	1.0	2.0	50.0	1.0	50.0	9.0	18.0	1.0	36.0	13.0	4.0	1.0	0.0	3.0	2.0	1.0	0.0	111.0	2.0	8.0	75.0	40.0	1.0	109.0	1.0	4.0	25.0	2.0	0.0	79.0	535.0	249.0	97.0	80.0	82.5	1.0	6.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0
11	Francesco Acerbi	it ITA	DF	Lazio	32-317	1988	11.0	11.0	927.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.4	0.01	0.04	0.05	0.01	0.05	10.3	2.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.06	-0.1	-0.1	570.0	664.0	85.8	11874.0	3090.0	184.0	205.0	89.8	282.0	302.0	93.4	94.0	137.0	68.6	0.6	4.0	44.0	4.0	4.0	34.0	632.0	32.0	14.0	0.0	75.0	27.0	10.0	0.0	0.0	0.0	0.0	470.0	68.0	126.0	493.0	116.0	30.0	9.0	2.0	2.0	11.0	5.0	9.0	7.0	0.68	7.0	0.0	0.0	0.0	0.0	2.0	0.19	2.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	10.0	9.0	1.0	4.0	16.0	25.0	12.0	135.0	56.0	41.5	81.0	40.0	14.0	22.0	7.0	0.0	15.0	20.0	54.0	0.0	794.0	116.0	389.0	390.0	76.0	5.0	763.0	3.0	4.0	75.0	3.0	0.0	468.0	2886.0	1537.0	507.0	497.0	98.0	5.0	2.0	0.0	10.0	8.0	1.0	0.0	0.0	0.0	142.0	26.0	5.0	83.9
12	Ragnar Ache	de GER	FW	Eint Frankfurt	22-148	1998	2.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	50.0	61.0	0.0	3.0	6.0	50.0	2.0	4.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	3.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	14.0	2.0	14.3	0.0	9.0	5.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	17.0	1.0	2.0	10.0	6.0	3.0	17.0	0.0	0.0	0.0	0.0	0.0	6.0	26.0	16.0	19.0	11.0	57.9	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	6.0	1.0	85.7
13	Marcos Acuña	ar ARG	DF	Sevilla	29-056	1991	10.0	9.0	776.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.7	0.03	0.08	0.11	0.03	0.11	8.6	6.0	1.0	0.0	16.7	0.7	0.12	0.0	0.0	0.05	-0.3	-0.3	468.0	576.0	81.3	9371.0	3918.0	173.0	190.0	91.1	217.0	243.0	89.3	71.0	127.0	55.9	-0.7	11.0	39.0	15.0	6.0	44.0	494.0	82.0	8.0	1.0	61.0	17.0	25.0	2.0	0.0	1.0	0.0	322.0	97.0	157.0	423.0	56.0	19.0	72.0	2.0	1.0	12.0	9.0	15.0	20.0	2.32	17.0	2.0	0.0	1.0	0.0	1.0	0.12	1.0	0.0	0.0	0.0	0.0	0.0	24.0	16.0	14.0	6.0	4.0	9.0	13.0	69.2	4.0	108.0	37.0	34.3	47.0	38.0	23.0	17.0	1.0	0.0	16.0	4.0	9.0	0.0	652.0	26.0	229.0	298.0	150.0	12.0	570.0	15.0	19.0	78.9	16.0	1.0	415.0	1934.0	1128.0	467.0	436.0	93.4	10.0	8.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	76.0	5.0	11.0	31.3
14	Che Adams	eng ENG	FW	Southampton	24-163	1996	14.0	14.0	1199.0	4.0	4.0	0.0	0.0	1.0	0.0	0.3	0.3	0.6	0.3	0.6	3.3	3.3	3.9	0.25	0.29	0.54	0.25	0.54	13.3	26.0	13.0	0.0	50.0	1.95	0.98	0.15	0.31	0.13	0.7	0.7	210.0	297.0	70.7	3495.0	863.0	101.0	135.0	74.8	69.0	87.0	79.3	27.0	35.0	77.1	0.1	18.0	17.0	10.0	0.0	31.0	290.0	7.0	1.0	6.0	83.0	6.0	5.0	0.0	0.0	0.0	0.0	180.0	58.0	59.0	23.0	234.0	18.0	0.0	9.0	3.0	6.0	8.0	16.0	27.0	2.03	21.0	0.0	1.0	3.0	2.0	5.0	0.38	5.0	0.0	0.0	0.0	0.0	0.0	14.0	7.0	3.0	7.0	4.0	2.0	11.0	18.2	9.0	179.0	60.0	33.5	25.0	60.0	94.0	8.0	1.0	0.0	7.0	2.0	8.0	0.0	446.0	9.0	32.0	202.0	232.0	46.0	440.0	11.0	19.0	57.9	11.0	0.0	285.0	1459.0	622.0	680.0	347.0	51.0	38.0	26.0	0.0	14.0	20.0	9.0	0.0	0.0	0.0	57.0	17.0	66.0	20.5
15	Tyler Adams	us USA	MF,DF	RB Leipzig	21-313	1999	10.0	7.0	701.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.02	0.02	0.0	0.02	7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.0	461.0	85.5	6296.0	1783.0	198.0	216.0	91.7	162.0	185.0	87.6	28.0	46.0	60.9	-0.2	3.0	28.0	2.0	0.0	40.0	437.0	24.0	10.0	0.0	51.0	1.0	3.0	0.0	0.0	0.0	0.0	343.0	62.0	56.0	55.0	357.0	22.0	14.0	4.0	1.0	2.0	10.0	6.0	7.0	0.9	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	12.0	4.0	12.0	2.0	4.0	9.0	44.4	5.0	144.0	50.0	34.7	37.0	88.0	19.0	13.0	2.0	0.0	11.0	10.0	18.0	0.0	544.0	23.0	142.0	360.0	78.0	3.0	523.0	11.0	12.0	91.7	11.0	0.0	351.0	1880.0	908.0	396.0	363.0	91.7	6.0	12.0	0.0	13.0	11.0	0.0	0.0	0.0	0.0	88.0	9.0	5.0	64.3
16	Sargis Adamyan	am ARM	FW,MF	Hoffenheim	27-214	1993	4.0	0.0	81.0	1.0	2.0	0.0	0.0	0.0	0.0	1.11	2.22	3.33	1.11	3.33	0.7	0.7	0.3	0.8	0.31	1.11	0.8	1.11	0.9	8.0	4.0	0.0	50.0	8.89	4.44	0.13	0.25	0.08	0.3	0.3	22.0	30.0	73.3	302.0	72.0	16.0	21.0	76.2	3.0	3.0	100.0	3.0	4.0	75.0	1.7	2.0	1.0	3.0	1.0	3.0	29.0	1.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	11.0	5.0	4.0	20.0	5.0	0.0	0.0	0.0	1.0	1.0	2.0	4.0	4.8	3.0	0.0	0.0	0.0	1.0	1.0	1.2	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	7.0	2.0	28.6	0.0	2.0	5.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	48.0	0.0	2.0	15.0	34.0	13.0	47.0	1.0	2.0	50.0	1.0	1.0	30.0	192.0	61.0	48.0	38.0	79.2	7.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	5.0	2.0	1.0	66.7
17	Tosin Adarabioyo	eng ENG	DF	Fulham	23-090	1997	10.0	10.0	900.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.6	0.2	0.06	0.02	0.08	0.06	0.08	10.0	9.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.06	-0.6	-0.6	378.0	439.0	86.1	9169.0	3227.0	69.0	79.0	87.3	208.0	225.0	92.4	95.0	128.0	74.2	-0.2	3.0	26.0	1.0	0.0	17.0	423.0	16.0	15.0	0.0	38.0	13.0	1.0	0.0	0.0	0.0	0.0	318.0	38.0	83.0	63.0	339.0	25.0	1.0	2.0	0.0	9.0	4.0	2.0	8.0	0.8	8.0	0.0	0.0	0.0	0.0	1.0	0.1	1.0	0.0	0.0	0.0	0.0	0.0	16.0	10.0	14.0	2.0	0.0	7.0	10.0	70.0	3.0	47.0	14.0	29.8	37.0	9.0	1.0	9.0	6.0	0.0	3.0	11.0	63.0	0.0	552.0	118.0	314.0	228.0	21.0	14.0	536.0	1.0	1.0	100.0	1.0	0.0	288.0	968.0	456.0	345.0	334.0	96.8	0.0	6.0	0.0	4.0	4.0	1.0	0.0	0.0	0.0	95.0	23.0	10.0	69.7
18	Bobby Adekanye	nl NED	FW,MF	Cádiz	21-313	1999	2.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.44	0.0	0.44	0.44	0.44	0.4	1.0	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.17	-0.2	-0.2	7.0	10.0	70.0	99.0	1.0	3.0	3.0	100.0	3.0	4.0	75.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	7.0	1.0	2.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	17.0	1.0	2.0	7.0	11.0	4.0	17.0	1.0	2.0	50.0	2.0	0.0	14.0	149.0	111.0	13.0	11.0	84.6	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
19	Yacine Adli	fr FRA	MF,FW	Bordeaux	20-147	2000	14.0	5.0	656.0	1.0	2.0	0.0	0.0	1.0	0.0	0.14	0.27	0.41	0.14	0.41	0.2	0.2	1.1	0.02	0.15	0.18	0.02	0.18	7.3	4.0	2.0	0.0	50.0	0.55	0.27	0.25	0.5	0.04	0.8	0.8	351.0	429.0	81.8	6774.0	2000.0	136.0	156.0	87.2	145.0	173.0	83.8	61.0	82.0	74.4	0.9	16.0	44.0	4.0	0.0	42.0	407.0	22.0	13.0	0.0	53.0	16.0	5.0	8.0	4.0	3.0	0.0	327.0	50.0	52.0	46.0	366.0	10.0	1.0	1.0	1.0	7.0	10.0	10.0	26.0	3.57	16.0	5.0	2.0	0.0	3.0	3.0	0.41	2.0	1.0	0.0	0.0	0.0	0.0	31.0	22.0	15.0	13.0	3.0	11.0	26.0	42.3	15.0	182.0	57.0	31.3	62.0	98.0	22.0	14.0	1.0	0.0	13.0	10.0	6.0	1.0	513.0	15.0	126.0	329.0	96.0	5.0	493.0	24.0	27.0	88.9	24.0	1.0	383.0	2258.0	1362.0	400.0	366.0	91.5	6.0	13.0	0.0	8.0	10.0	0.0	0.0	0.0	0.0	58.0	8.0	7.0	53.3
20	Andrea Adorante	it ITA	FW	Parma	20-322	2000	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	33.3	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	15.0	15.0	1.0	1.0	100.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
